Language,Word
ENGLISH,Mr.
ENGLISH,Mr
ENGLISH,Mister
ENGLISH,Mrs.
ENGLISH,Mrs
ENGLISH,Miss
ENGLISH,Ms.
ENGLISH,Ms
ENGLISH,Mx.
ENGLISH,Mx
ENGLISH,Master
ENGLISH,Mstr.
ENGLISH,Dr.
ENGLISH,Dr
ENGLISH,Rev.
ENGLISH,Prof.
ENGLISH,Hon.
ENGLISH,Sir
ENGLISH,Dame
ENGLISH,Lord
ENGLISH,Lady
ENGLISH,Ma'am
ENGLISH,He
ENGLISH,Him
ENGLISH,His
ENGLISH,She
ENGLISH,Her
ENGLISH,Hers
ENGLISH,They
ENGLISH,Them
ENGLISH,Their
ENGLISH,Theirs
ENGLISH,We
ENGLISH,Us
ENGLISH,Our
ENGLISH,Ours
ENGLISH,It
ENGLISH,Its
ENGLISH,Ze
ENGLISH,Zir
ENGLISH,Xe
ENGLISH,Xem
CHINESE,先生
CHINESE,小姐
CHINESE,女士
CHINESE,太太
CHINESE,老师
CHINESE,同志
CHINESE,他
CHINESE,她
CHINESE,它
CHINESE,他们
CHINESE,她们
CHINESE,它们
CHINESE,您的
JAPANESE,さん
JAPANESE,様
JAPANESE,氏
JAPANESE,殿
JAPANESE,君
JAPANESE,くん
JAPANESE,ちゃん
JAPANESE,博士
JAPANESE,先生
JAPANESE,彼
JAPANESE,彼女
JAPANESE,お前
JAPANESE,あなた
JAPANESE,私
JAPANESE,僕
JAPANESE,俺
KOREAN,씨
KOREAN,님
KOREAN,선생님
KOREAN,귀하
KOREAN,그
KOREAN,그녀
KOREAN,당신
KOREAN,저
KOREAN,나
KOREAN,우리
KOREAN,저희
SPANISH,Señor
SPANISH,Señora
SPANISH,Señorita
SPANISH,D.
SPANISH,Don
SPANISH,Dña.
SPANISH,Doña
SPANISH,Él
SPANISH,Ella
SPANISH,Ello
SPANISH,Usted
SPANISH,Uds.
SPANISH,Vosotros
SPANISH,Vosotras
SPANISH,Nosotros
SPANISH,Nosotras
SPANISH,Su
SPANISH,Sus
SPANISH,Mi
SPANISH,Mis
FRENCH,Monsieur
FRENCH,Mme
FRENCH,Madame
FRENCH,Mlle
FRENCH,Mademoiselle
FRENCH,Il
FRENCH,Elle
FRENCH,Soi
FRENCH,Vous
FRENCH,Tu
FRENCH,Nous
FRENCH,On
FRENCH,Lui
FRENCH,Eux
FRENCH,Elles
